,LINE_NO,UTMX,UTMY,RECORD,ELEVATION,RHO_I_1,RHO_I_2,RHO_I_3,RHO_I_4,RHO_I_5,RHO_I_6,RHO_I_7,RHO_I_8,RHO_I_9,RHO_I_10,RHO_I_11,RHO_I_12,RHO_I_13,RHO_I_14,RHO_I_15,RHO_I_16,RHO_I_17,RHO_I_18,RHO_I_19,RHO_I_20,RHO_I_21,RHO_I_22,RHO_I_23,RHO_I_24,RHO_I_25,RHO_I_26,RHO_I_27,RHO_I_28,RHO_I_29,RHO_I_30,THK_1,THK_2,THK_3,THK_4,THK_5,THK_6,THK_7,THK_8,THK_9,THK_10,THK_11,THK_12,THK_13,THK_14,THK_15,THK_16,THK_17,THK_18,THK_19,THK_20,THK_21,THK_22,THK_23,THK_24,THK_25,THK_26,THK_27,THK_28,THK_29,DOI_STANDARD,PCT_DIFF
20,21415.0,449351.8,1365012.2,29020.0,242.6,1434.3037419956063,1434.3488547707523,1434.451893321355,1434.6284345785357,1434.8973356428028,1435.2813964926563,1435.808230200524,1436.510973536174,1437.4292211398304,1438.6101570964772,1440.1096455447628,1441.9933763452937,1444.3385746732652,1447.2347216304029,1450.783321422278,1455.1012245464244,1460.3178995070066,1466.5743440830338,1474.0200428568676,1482.8058217314156,1493.0766046608019,1504.954127147222,1518.518988578643,1533.7866423306996,1550.6748286164163,1568.9603997653362,1588.2509419952507,1607.956599251563,1627.2821842856144,1627.2821842856144,4.0,4.362,4.756,5.186,5.654,6.165,6.723,7.33,7.993,8.715,9.503,10.36,11.3,12.32,13.43,14.65,15.97,17.42,18.99,20.71,22.58,24.62,26.84,29.27,31.92,34.8,37.95,41.38,45.12,-0.0,9.009735827026455
21,21415.0,449396.1,1365041.5,29021.0,240.8,1459.4196693243148,1459.4431712891846,1459.4968479334518,1459.5888087191825,1459.7288673311125,1459.928883653512,1460.203210383864,1460.5690527921918,1461.0469419348144,1461.6613055972798,1462.4410070736342,1463.4198977875292,1464.6376463524691,1466.14003025171,1467.9787019765586,1470.2127590683262,1472.9071293948057,1476.1317593478861,1479.959742897422,1484.4633101105662,1489.70977410349,1495.752423532464,1502.6213090110068,1510.3113273678005,1518.7665835054481,1527.8603312331425,1537.3833635495876,1547.033361435771,1556.4148042892696,1556.4148042892696,4.0,4.362,4.756,5.186,5.654,6.165,6.723,7.33,7.993,8.715,9.503,10.36,11.3,12.32,13.43,14.65,15.97,17.42,18.99,20.71,22.58,24.62,26.84,29.27,31.92,34.8,37.95,41.38,45.12,-0.0,5.562234418539108
22,21415.0,449440.9,1365071.2,29022.0,238.6,1378.5866907196867,1378.622412504246,1378.7039973811875,1378.843771016347,1379.0566539141948,1379.3606830148624,1379.777688211056,1380.3338393953609,1381.0603731027106,1381.994468981025,1383.1800751764179,1384.668758418854,1386.520981496774,1388.8065678904136,1391.6043721169278,1395.004699135256,1399.1068783155977,1404.0180569051824,1409.8503524617438,1416.7147079902743,1424.7145847862012,1433.9318180883567,1444.4120847209992,1456.145984075335,1469.044121053508,1482.905256545899,1497.397490298982,1512.041623090234,1526.2124317365556,1526.2124317365556,4.0,4.362,4.756,5.186,5.654,6.165,6.723,7.33,7.993,8.715,9.503,10.36,11.3,12.32,13.43,14.65,15.97,17.42,18.99,20.71,22.58,24.62,26.84,29.27,31.92,34.8,37.95,41.38,45.12,-0.0,10.459980494744721
23,21415.0,449486.1,1365101.6,29023.0,236.5,1475.7106201711208,1475.7301904666754,1475.7748852016994,1475.8514530900854,1475.9680614110418,1476.1345788917583,1476.362940769566,1476.6674412928792,1477.0651228146332,1477.576241741319,1478.2246980914272,1479.0384693462447,1480.0502659158153,1481.2977240503205,1482.8231435345394,1484.6746971330333,1486.9049632651838,1489.5700925998622,1492.7280494272873,1496.435052305588,1500.7419414237218,1505.6863956787934,1511.2851246603154,1517.5240035008196,1524.3454610656408,1531.6328564968896,1539.2024866064617,1546.7973102735727,1554.0903388719091,1554.0903388719091,4.0,4.362,4.756,5.186,5.654,6.165,6.723,7.33,7.993,8.715,9.503,10.36,11.3,12.32,13.43,14.65,15.97,17.42,18.99,20.71,22.58,24.62,26.84,29.27,31.92,34.8,37.95,41.38,45.12,-0.0,14.612807348438391
24,21415.0,449530.1,1365131.4,29024.0,234.3,1594.645825782271,1594.6405046904765,1594.6283518055552,1594.6075299221022,1594.575816511242,1594.5305267108988,1594.4684070017472,1594.3855476576744,1594.2772741452245,1594.138014127946,1593.9611623571345,1593.7389380969921,1593.462176747877,1593.1202312180872,1592.7009798448362,1592.1904058743398,1591.5728752415157,1590.8312065345808,1589.9469360255684,1588.9010399278018,1587.6746025598304,1586.2506238305543,1584.6158217042494,1582.763097989361,1580.6949893864562,1578.428540931948,1575.998750133531,1573.46269444637,1570.902557545186,1570.902557545186,4.0,4.362,4.756,5.186,5.654,6.165,6.723,7.33,7.993,8.715,9.503,10.36,11.3,12.32,13.43,14.65,15.97,17.42,18.99,20.71,22.58,24.62,26.84,29.27,31.92,34.8,37.95,41.38,45.12,454.897,8.970582098285815
25,21415.0,449574.4,1365161.4,29025.0,232.3,1549.8943647907627,1549.8948070822019,1549.8958186873379,1549.8975566360211,1549.9002110202307,1549.9040116500928,1549.9092454964575,1549.9162761966124,1549.9255607893988,1549.9376706809846,1549.953327702993,1549.9734544360929,1549.9992399184935,1550.0322158846086,1550.0743511253775,1550.1282246416104,1550.1971790879802,1550.285543741884,1550.3989133171788,1550.5444281149366,1550.7311426676372,1550.970257312675,1551.2753261615705,1551.662221302923,1552.1486304036357,1552.7525822842313,1553.490282006536,1554.3724770910028,1555.399193158693,1555.399193158693,4.0,4.362,4.756,5.186,5.654,6.165,6.723,7.33,7.993,8.715,9.503,10.36,11.3,12.32,13.43,14.65,15.97,17.42,18.99,20.71,22.58,24.62,26.84,29.27,31.92,34.8,37.95,41.38,45.12,-0.0,15.97277568133229
26,21415.0,449619.0,1365191.3,29026.0,230.2,1554.1700233527806,1554.196278225734,1554.2562381846533,1554.3589632926823,1554.5154224355854,1554.7388723304323,1555.0453654229545,1555.4541727760568,1555.9883297854497,1556.6752908539831,1557.5475702947842,1558.6434251274409,1560.0078668058575,1561.6931064514667,1563.7584617410582,1566.2723578563375,1569.3108464995487,1572.9571237048433,1577.3000075425362,1582.4301217320735,1588.4362135819736,1595.3958006198075,1603.3657035024091,1612.3692706187526,1622.3787701615925,1633.2912467940341,1644.912157353403,1656.937154023853,1668.941985564986,1668.941985564986,4.0,4.362,4.756,5.186,5.654,6.165,6.723,7.33,7.993,8.715,9.503,10.36,11.3,12.32,13.43,14.65,15.97,17.42,18.99,20.71,22.58,24.62,26.84,29.27,31.92,34.8,37.95,41.38,45.12,-0.0,15.348783519580444
27,21415.0,449664.2,1365221.3,29027.0,227.8,1584.4798571106758,1584.4707015814395,1584.4497927852026,1584.413971112035,1584.35941306489,1584.2815012126873,1584.1746444697178,1584.032126392109,1583.8459164561737,1583.6064460415519,1583.302382839188,1582.9203873645918,1582.4447588663927,1581.8572766580692,1581.137223680592,1580.2606757559345,1579.200994294607,1577.9289602879403,1576.4132409912138,1574.6216295924535,1572.5221714244028,1570.0862023316201,1567.29131312827,1564.1253543123612,1560.5919952532893,1556.7185613664706,1552.5612999852062,1548.2117770659866,1543.8016097630607,1543.8016097630607,4.0,4.362,4.756,5.186,5.654,6.165,6.723,7.33,7.993,8.715,9.503,10.36,11.3,12.32,13.43,14.65,15.97,17.42,18.99,20.71,22.58,24.62,26.84,29.27,31.92,34.8,37.95,41.38,45.12,454.897,5.261367537891404
28,21415.0,449708.0,1365250.5,29028.0,225.9,4690.224040162439,4688.192760010773,4683.565755665231,4675.658792526084,4663.647324597125,4646.546876759546,4623.188078471459,4592.197749861541,4551.971213946702,4500.644996940769,4436.0864813440885,4355.898551459225,4257.420299980706,4137.79338219442,3994.099136235971,3823.394146614983,3623.041330642282,3391.026358026583,3126.381276456633,2829.7903828778863,2504.1463246317526,2155.3252918089834,1792.6563691525537,1429.0844466294443,1080.7497708466265,765.6841166079416,500.93276813706456,298.7098279533232,162.31367052967528,162.31367052967528,4.0,4.362,4.756,5.186,5.654,6.165,6.723,7.33,7.993,8.715,9.503,10.36,11.3,12.32,13.43,14.65,15.97,17.42,18.99,20.71,22.58,24.62,26.84,29.27,31.92,34.8,37.95,41.38,45.12,454.897,11.037108462075533
29,21415.0,449752.7,1365280.1,29029.0,223.6,1479.431150064561,1479.3021416972717,1479.0075523528549,1478.502951569357,1477.7346830137667,1476.6381561416067,1475.1354698890025,1473.1334522837885,1470.5212885101066,1467.1678978850694,1462.9195535726383,1457.5974791774563,1450.9942978492338,1442.8738682501591,1432.9743627999135,1421.002089329887,1406.6429929080234,1389.570283298225,1369.4575429856336,1346.0026456728956,1318.9495499101915,1288.1326190823245,1253.514139318164,1215.2260544021622,1173.6170204799098,1129.307075074156,1083.190339041472,1036.4332269643987,990.4449614849586,990.4449614849586,4.0,4.362,4.756,5.186,5.654,6.165,6.723,7.33,7.993,8.715,9.503,10.36,11.3,12.32,13.43,14.65,15.97,17.42,18.99,20.71,22.58,24.62,26.84,29.27,31.92,34.8,37.95,41.38,45.12,454.897,22.01467315904968
